"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 성북구 종암동(1129070500)","37,683","37,683","2,097","3,404","5,421","4,570","5,818","6,314","5,157","2,940","1,680","276","6"
"서울특별시 성북구 월곡제1동(1129071500)","25,579","25,579","1,608","2,420","2,818","3,211","4,144","4,343","3,678","2,193","1,059","100","5"
"서울특별시 성북구 월곡제2동(1129072500)","18,909","18,909","796","1,338","3,483","2,569","2,490","2,953","2,716","1,615","837","110","2"
"서울특별시 성북구 장위제1동(1129076000)","23,371","23,371","1,477","1,720","3,016","3,155","3,513","4,105","3,626","1,819","846","92","2"
"서울특별시 성북구 장위제2동(1129077000)","13,119","13,119","483","772","1,760","1,792","1,631","2,265","2,230","1,428","679","77","2"
"서울특별시 성북구 장위제3동(1129078000)","15,527","15,527","1,482","1,301","1,947","2,232","2,634","2,531","1,983","946","424","46","1"
"서울특별시 성북구 석관동(1129081000)","33,790","33,790","1,658","1,975","4,581","4,607","4,598","5,653","5,593","3,355","1,614","150","6"
"서울특별시 강북구 (1130500000)","288,113","288,113","11,575","19,141","38,155","34,997","39,902","50,265","47,856","29,760","14,811","1,604","47"
"서울특별시 강북구 삼양동(1130553400)","22,408","22,408","983","1,591","2,810","2,597","3,062","4,172","3,761","2,256","1,067","106","3"
"서울특별시 강북구 미아동(1130553500)","20,853","20,853","565","1,136","3,522","2,709","2,629","3,536","3,536","2,046","1,072","100","2"
"서울특별시 강북구 송중동(1130554500)","28,623","28,623","1,268","1,859","3,786","3,751","4,092","4,941","4,764","2,768","1,259","135","0"
"서울특별시 강북구 송천동(1130555500)","24,755","24,755","739","1,348","2,988","2,909","3,147","4,589","4,731","2,823","1,336","138","7"
"서울특별시 강북구 삼각산동(1130557500)","30,606","30,606","2,260","3,781","3,293","3,194","5,644","5,510","3,641","2,137","1,028","114","4"
"서울특별시 강북구 번1동(1130559500)","17,374","17,374","487","854","2,830","2,522","2,521","2,906","2,678","1,687","810","76","3"
"서울특별시 강북구 번2동(1130560300)","14,875","14,875","488","843","1,830","1,585","1,930","2,530","2,718","1,929","925","94","3"
"서울특별시 강북구 번3동(1130560800)","16,354","16,354","667","1,127","1,693","1,605","2,137","2,765","2,665","2,399","1,171","120","5"
"서울특별시 강북구 수유1동(1130561500)","19,860","19,860","709","1,209","2,804","2,645","2,593","3,330","3,426","2,028","986","128","2"
"서울특별시 강북구 수유2동(1130562500)","20,522","20,522","833","1,232","2,596","2,322","2,737","3,547","3,621","2,227","1,256","148","3"
"서울특별시 강북구 수유3동(1130563500)","22,995","22,995","594","1,000","4,228","3,328","2,916","3,920","3,681","2,142","1,080","102","4"
"서울특별시 강북구 우이동(1130564500)","19,815","19,815","840","1,229","2,307","2,387","2,620","3,526","3,412","2,139","1,199","151","5"
"서울특별시 강북구 인수동(1130566000)","29,073","29,073","1,142","1,932","3,468","3,443","3,874","4,993","5,222","3,179","1,622","192","6"
"서울특별시 도봉구 (1132000000)","306,948","306,948","14,242","22,372","37,439","37,607","42,514","54,263","52,978","28,964","14,577","1,934","58"
"서울특별시 도봉구 창제1동(1132051100)","24,042","24,042","1,137","1,927","2,952","3,143","3,569","4,242","3,738","2,076","1,104","149","5"
"서울특별시 도봉구 창제2동(1132051200)","28,183","28,183","1,370","2,027","3,733","3,788","4,106","4,947","4,414","2,451","1,200","144","3"
"서울특별시 도봉구 창제3동(1132051300)","13,193","13,193","505","908","1,490","1,504","1,898","2,443","2,342","1,364","677","58","4"
"서울특별시 도봉구 창제4동(1132051400)","26,173","26,173","1,393","2,318","3,415","3,342","3,904","4,744","4,056","1,840","981","178","2"
"서울특별시 도봉구 창제5동(1132051500)","23,881","23,881","1,182","1,700","3,196","3,395","3,185","4,236","3,907","1,944","988","142","6"
"서울특별시 도봉구 도봉제1동(1132052100)","20,046","20,046","616","1,013","2,141","2,049","2,500","3,525","3,978","2,754","1,312","150","8"
"서울특별시 도봉구 도봉제2동(1132052200)","25,984","25,984","1,415","1,406","2,703","3,334","3,397","4,202","4,891","3,022","1,416","192","6"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,643","20,643","899","1,390","2,731","2,403","2,751","3,684","3,468","2,042","1,145","128","2"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,910","17,910","789","1,133","2,162","2,305","2,458","3,146","3,201","1,706","860","147","3"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,452","16,452","666","924","2,374","2,361","2,243","2,788","2,640","1,582","797","72","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,059","18,059","935","1,798","2,180","2,113","2,650","3,209","3,107","1,274","688","105","0"
"서울특별시 도봉구 방학제1동(1132069000)","27,755","27,755","1,195","2,041","3,489","3,050","3,791","5,100","4,931","2,745","1,267","140","6"
"서울특별시 도봉구 방학제2동(1132070000)","18,545","18,545","660","1,241","2,133","1,973","2,339","3,529","3,518","1,991","1,041","118","2"
"서울특별시 도봉구 방학제3동(1132071000)","26,082","26,082","1,480","2,546","2,740","2,847","3,723","4,468","4,787","2,173","1,101","211","6"
"서울특별시 노원구 (1135000000)","498,213","498,213","26,425","47,172","66,301","61,022","75,401","86,441","73,117","39,713","19,653","2,883","85"
"서울특별시 노원구 월계1동(1135056000)","20,551","20,551","889","1,493","3,593","2,369","2,844","3,324","3,074","1,971","870","122","2"
"서울특별시 노원구 월계2동(1135057000)","25,491","25,491","1,363","1,883","2,759","2,826","3,749","4,304","4,489","2,696","1,213","202","7"
"서울특별시 노원구 월계3동(1135058000)","28,718","28,718","1,722","1,883","3,167","4,251","4,141","4,550","4,651","2,820","1,352","176","5"
"서울특별시 노원구 공릉1동(1135059500)","35,984","35,984","1,487","2,442","6,607","4,949","4,950","5,445","5,564","3,055","1,296","186","3"
"서울특별시 노원구 공릉2동(1135060000)","41,466","41,466","2,891","4,167","6,874","5,443","6,602","6,390","5,220","2,582","1,141","154","2"
"서울특별시 노원구 하계1동(1135061100)","26,140","26,140","867","2,857","4,537","2,635","3,348","4,813","3,911","1,941","1,065","163","3"
"서울특별시 노원구 하계2동(1135061200)","21,310","21,310","1,216","2,466","2,597","2,462","3,462","3,824","2,916","1,454","788","125","0"
"서울특별시 노원구 중계본동(1135061900)","23,066","23,066","1,129","4,208","2,902","1,646","4,262","4,647","2,567","1,025","591","87","2"
"서울특별시 노원구 중계1동(1135062100)","26,326","26,326","1,645","5,253","2,818","1,857","5,721","4,889","2,474","1,025","563","79","2"
"서울특별시 노원구 중계4동(1135062400)","19,119","19,119","876","1,925","2,288","1,813","2,881","3,591","2,764","1,907","928","143","3"
"서울특별시 노원구 중계2.3동(1135062500)","32,500","32,500","1,520","2,675","3,655","3,819","4,805","5,565","5,015","3,342","1,834","262","8"
